continent	country	year	type	amount
Asia	Afghanistan	2009	All types	0.03
Asia	Afghanistan	2009	Beer	0.01
Asia	Afghanistan	2009	Wine	0
Asia	Afghanistan	2009	Spirits	0.02
Asia	Afghanistan	2009	Other alcoholic beverages	0
Europe	Albania	2009	All types	6.04
Europe	Albania	2009	Beer	2.2
Europe	Albania	2009	Wine	1.28
Europe	Albania	2009	Spirits	2.44
Europe	Albania	2009	Other alcoholic beverages	0.12
Africa	Algeria	2009	All types	0.48
Africa	Algeria	2009	Beer	0.2
Africa	Algeria	2009	Wine	0.25
Africa	Algeria	2009	Spirits	0.04
Africa	Algeria	2009	Other alcoholic beverages	0
Europe	Andorra	2009	All types	10.8
Europe	Andorra	2009	Beer	3.59
Europe	Andorra	2009	Wine	4.49
Europe	Andorra	2009	Spirits	2.72
Europe	Andorra	2009	Other alcoholic beverages	0
Africa	Angola	2009	All types	6.89
Africa	Angola	2009	Beer	4.42
Africa	Angola	2009	Wine	1.74
Africa	Angola	2009	Spirits	0.71
Africa	Angola	2009	Other alcoholic beverages	0.03
North America	Antigua and Barbuda	2009	All types	7.9
North America	Antigua and Barbuda	2009	Beer	2.93
North America	Antigua and Barbuda	2009	Wine	1.42
North America	Antigua and Barbuda	2009	Spirits	3.28
North America	Antigua and Barbuda	2009	Other alcoholic beverages	0.27
South America	Argentina	2009	All types	8.33
South America	Argentina	2009	Beer	3.23
South America	Argentina	2009	Wine	4.31
South America	Argentina	2009	Spirits	0.4
South America	Argentina	2009	Other alcoholic beverages	0.39
Asia	Armenia	2009	All types	3.97
Asia	Armenia	2009	Beer	0.32
Asia	Armenia	2009	Wine	0.27
Asia	Armenia	2009	Spirits	3.37
Asia	Armenia	2009	Other alcoholic beverages	0.01
Oceania	Australia	2009	All types	10.62
Oceania	Australia	2009	Beer	4.68
Oceania	Australia	2009	Wine	3.78
Oceania	Australia	2009	Spirits	1.32
Oceania	Australia	2009	Other alcoholic beverages	0.84
Europe	Austria	2009	All types	11.3
Europe	Austria	2009	Beer	6.2
Europe	Austria	2009	Wine	3.4
Europe	Austria	2009	Spirits	1.7
Europe	Austria	2009	Other alcoholic beverages	0
Asia	Azerbaijan	2009	All types	1.9
Asia	Azerbaijan	2009	Beer	0.27
Asia	Azerbaijan	2009	Wine	0.17
Asia	Azerbaijan	2009	Spirits	1.45
Asia	Azerbaijan	2009	Other alcoholic beverages	0.01
North America	Bahamas	2009	All types	8.63
North America	Bahamas	2009	Beer	3.15
North America	Bahamas	2009	Wine	1.46
North America	Bahamas	2009	Spirits	3.69
North America	Bahamas	2009	Other alcoholic beverages	0.33
Asia	Bahrain	2009	All types	2.1
Asia	Bahrain	2009	Beer	0.46
Asia	Bahrain	2009	Wine	0.14
Asia	Bahrain	2009	Spirits	1.34
Asia	Bahrain	2009	Other alcoholic beverages	0.16
Asia	Bangladesh	2009	All types	0.01
Asia	Bangladesh	2009	Beer	0
Asia	Bangladesh	2009	Wine	0
Asia	Bangladesh	2009	Spirits	0
Asia	Bangladesh	2009	Other alcoholic beverages	0
North America	Barbados	2009	All types	8.55
North America	Barbados	2009	Beer	3.18
North America	Barbados	2009	Wine	0.93
North America	Barbados	2009	Spirits	4.28
North America	Barbados	2009	Other alcoholic beverages	0.16
Europe	Belarus	2009	All types	13.97
Europe	Belarus	2009	Beer	2.77
Europe	Belarus	2009	Wine	0.18
