Country	Beverage Types	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000
Afghanistan	 All types	0.03	0.03	0.03	0.03	0.02	0.02	0.01	0.01	0	0
Afghanistan	 Beer	0.01	0.01	0.01	0.01	0.01	0.02	0	0	0	0
Afghanistan	 Wine	0	0	0	0	0	0	0	0	0	0
Afghanistan	 Spirits	0.02	0.02	0.02	0.02	0.01	0	0.01	0	0	0
Afghanistan	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Albania	 All types	6.04	5.82	5.76	5.46	5.3	4.67	4.43	4.01	4.71	3.98
Albania	 Beer	2.2	2.13	1.94	1.79	1.65	1.37	1.45	1.29	1.49	1.33
Albania	 Wine	1.28	1.2	1.35	1.28	1.33	1.07	0.77	0.54	1.09	0.57
Albania	 Spirits	2.44	2.38	2.36	2.28	2.23	2.14	2.21	2.18	2.13	2.08
Albania	 Other alcoholic beverages	0.12	0.11	0.11	0.11	0.09	0.08	0	0	0	0
Algeria	 All types	0.48	0.43	0.39	0.43	0.55	0.52	0.39	0.43	0.27	0.32
Algeria	 Beer	0.2	0.21	0.17	0.18	0.3	0.24	0.19	0.17	0.1	0.12
Algeria	 Wine	0.25	0.2	0.2	0.23	0.24	0.26	0.17	0.25	0.16	0.2
Algeria	 Spirits	0.04	0.02	0.03	0.02	0.02	0.02	0.02	0.01	0.01	0
Algeria	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Andorra	 All types	10.8	10.97	11.53	12.03	11.96	10.8	10.97	11.53	12.03	11.96
Andorra	 Beer	3.59	3.56	3.7	3.78	3.64	3.59	3.56	3.7	3.78	3.64
Andorra	 Wine	4.49	4.57	4.89	5.27	5.39	4.49	4.57	4.89	5.27	5.39
Andorra	 Spirits	2.72	2.84	2.94	2.99	2.94	2.72	2.84	2.94	2.99	2.94
Andorra	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Angola	 All types	6.89	6.9	6.22	5.44	4.68	3.39	2.88	2.62	2.45	1.77
Angola	 Beer	4.42	3.64	3.24	3.04	2.66	1.6	1.46	1.45	1.31	0.99
Angola	 Wine	1.74	2.62	2.4	2.32	1.94	1.58	1.42	1.17	1.15	0.78
Angola	 Spirits	0.71	0.61	0.57	0.08	0.08	0.2	0	0	0	0
Angola	 Other alcoholic beverages	0.03	0.03	0.02	0	0	0	0	0	0	0
Antigua and Barbuda	 All types	7.9	8.24	8.19	8.34	8.81	7.27	7.11	7.14	7.43	7.46
Antigua and Barbuda	 Beer	2.93	2.99	2.95	2.64	2.42	1.97	1.86	1.76	1.87	1.91
Antigua and Barbuda	 Wine	1.42	1.32	1.34	1.79	2.38	1.43	1.25	1.38	1.41	1.41
Antigua and Barbuda	 Spirits	3.28	3.61	3.6	3.61	3.58	3.47	3.98	3.99	4.13	4.12
Antigua and Barbuda	 Other alcoholic beverages	0.27	0.32	0.3	0.3	0.43	0.39	0.02	0.02	0.02	0.02
Argentina	 All types	8.33	8.41	8.16	7.75	7.53	7.63	7.62	7.81	7.76	7.68
Argentina	 Beer	3.23	3.16	2.75	2.57	2.42	2.04	2.03	2.08	1.9	1.79
Argentina	 Wine	4.31	4.45	4.65	4.62	4.57	5.03	5.08	5.28	5.32	5.3
Argentina	 Spirits	0.4	0.44	0.44	0.3	0.32	0.52	0.46	0.41	0.49	0.52
Argentina	 Other alcoholic beverages	0.39	0.36	0.32	0.26	0.22	0.04	0.04	0.04	0.05	0.06
Armenia	 All types	3.97	3.96	4	4.01	4.25	3.81	3.03	2.93	2.96	2.98
Armenia	 Beer	0.32	0.41	0.38	0.36	0.27	0.22	0.17	0.17	0.24	0.18
Armenia	 Wine	0.27	0.23	0.23	0.28	0.46	0.43	0.16	0.28	0.38	0.28
Armenia	 Spirits	3.37	3.32	3.39	3.38	3.51	3.16	2.7	2.48	2.34	2.52
Armenia	 Other alcoholic beverages	0.01	0	0	0	0	0	0	0	0	0
Australia	 All types	10.62	10.76	10.56	10.31	10.3	9.84	9.97	9.84	9.53	10.17
Australia	 Beer	4.68	4.69	4.63	4.63	4.62	4.57	4.96	4.97	4.08	5.07
Australia	 Wine	3.78	3.71	3.7	3.53	3.53	3.13	3	3.01	2.91	2.95
Australia	 Spirits	1.32	1.19	1.15	1.16	1.21	1.2	2.01	1.86	1.81	2.07
Australia	 Other alcoholic beverages	0.84	1.17	1.08	0.99	0.94	0.94	0	0	0.01	0.08
Austria	 All types	11.3	12	12.5	12.4	12.4	12.1	12.2	12.5	12.4	13.2
Austria	 Beer	6.2	6.4	6.4	6.7	6.07	6.7	6.4	6.4	6.6	6.8
Austria	 Wine	3.4	3.9	4.4	4.2	4.1	3.8	4.1	4.4	4.3	4.3
Austria	 Spirits	1.7	1.7	1.7	1.5	1.6	1.6	1.7	1.7	1.5	2.1
Austria	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Azerbaijan	 All types	1.9	1.15	0.98	0.87	0.74	4.39	4.26	4.68	5.7	6.77
Azerbaijan	 Beer	0.27	0.46	0.34	0.3	0.3	1.46	1.11	1.07	1.02	0.64
Azerbaijan	 Wine	0.17	0.16	0.13	0.1	0.05	0.06	0.06	0.08	0.11	0.1
Azerbaijan	 Spirits	1.45	0.53	0.51	0.47	0.4	2.88	3.09	3.53	4.57	6.02
Azerbaijan	 Other alcoholic beverages	0.01	0	0	0	0	0	0	0	0	0
Bahamas	 All types	8.63	9.53	10.02	10.29	10.64	9.98	10.68	10.83	11.62	12.19
Bahamas	 Beer	3.15	3.63	3.84	3.79	3.82	3.73	3.56	3.6	3.69	4.04
Bahamas	 Wine	1.46	1.57	1.67	1.9	2.13	1.28	1.56	1.46	1.83	1.83
Bahamas	 Spirits	3.69	3.97	4.12	4.2	4.29	4.54	5.53	5.74	6.07	6.29
Bahamas	 Other alcoholic beverages	0.33	0.36	0.39	0.4	0.4	0.44	0.03	0.03	0.03	0.03
Bahrain	 All types	2.1	2.16	2.16	2.2	2.15	2.15	2.14	1.96	1.93	2.15
Bahrain	 Beer	0.46	0.47	0.49	0.52	0.55	0.55	0.54	0.55	0.54	0.54
Bahrain	 Wine	0.14	0.13	0.26	0.23	0.19	0.21	0.14	0.18	0.15	0.3
Bahrain	 Spirits	1.34	1.39	1.24	1.35	1.33	1.38	1.45	1.23	1.24	1.31
Bahrain	 Other alcoholic beverages	0.16	0.18	0.16	0.1	0.09	0	0	0	0	0
Bangladesh	 All types	0.01	0.01	0	0	0	0	0	0	0	0.01
Bangladesh	 Beer	0	0	0	0	0	0	0	0	0	0
Bangladesh	 Wine	0	0	0	0	0	0	0	0	0	0
Bangladesh	 Spirits	0	0	0	0	0	0	0	0	0	0
Bangladesh	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Barbados	 All types	8.55	8.83	8.43	8.6	8.17	7.67	7.61	7.53	7.32	7.24
Barbados	 Beer	3.18	3.45	3.15	3.29	3.22	2.98	2.89	2.89	2.87	2.73
Barbados	 Wine	0.93	0.89	1.06	1.12	0.92	0.68	0.72	0.55	0.49	0.49
Barbados	 Spirits	4.28	4.24	3.97	3.95	3.82	3.8	3.97	4.06	3.92	3.99
Barbados	 Other alcoholic beverages	0.16	0.25	0.25	0.24	0.21	0.22	0.03	0.03	0.03	0.03
Belarus	 All types	13.97	14.54	13.86	12.53	11.05	12.08	11.17	12.23	10.74	12.92
Belarus	 Beer	2.77	2.92	2.72	2.32	1.85	1.33	3.2	2.73	1.15	1.19
Belarus	 Wine	0.18	0.18	0.16	0.16	0.14	0.22	0.49	0.41	0.37	0.17
Belarus	 Spirits	6.11	6.31	5.99	5.24	4.15	3.64	3.8	4.75	4.75	5.03
Belarus	 Other alcoholic beverages	4.91	5.14	4.99	4.82	4.9	6.89	3.68	3.89	4.47	6.54
Belgium	 All types	10.1	10.51	13.43	10.94	12.21	12.06	11.31	11.33	11.05	11.25
Belgium	 Beer	4.94	5.04	5.2	5.58	6.03	5.95	6.14	6.09	6.08	6.15
Belgium	 Wine	3.66	3.83	4.26	4.35	4.2	4.26	4.06	4.26	3.99	4.05
Belgium	 Spirits	1.45	1.59	3.96	0.99	1.97	1.84	1.07	0.95	0.93	1
Belgium	 Other alcoholic beverages	0.05	0.06	0.02	0.02	0.02	0.02	0.04	0.04	0.04	0.04
Belize	 All types	6.45	6.86	6.93	6.22	6.06	6.04	5.53	4.87	4.77	4.67
Belize	 Beer	4.36	4.7	4.74	4.01	3.86	3.88	3.6	3.01	2.87	2.76
Belize	 Wine	0.17	0.14	0.16	0.12	0.14	0.12	0.15	0.11	0.14	0.14
Belize	 Spirits	1.73	1.87	1.91	1.98	2.01	2.03	1.77	1.74	1.75	1.77
Belize	 Other alcoholic beverages	0.18	0.15	0.13	0.11	0.05	0.01	0	0	0	0
Benin	 All types	1.21	1.34	1.2	1.26	1.22	1.23	1.44	1.33	1.38	1.43
Benin	 Beer	0.62	0.62	0.55	0.53	0.51	0.53	0.7	0.73	0.66	0.54
Benin	 Wine	0.2	0.16	0.17	0.17	0.14	0.12	0.12	0.1	0.12	0.12
Benin	 Spirits	0.15	0.25	0.1	0.19	0.16	0.15	0.19	0.02	0.13	0.31
Benin	 Other alcoholic beverages	0.25	0.31	0.38	0.38	0.41	0.42	0.44	0.47	0.48	0.46
Bhutan	 All types	0.22	0.3	0.2	0.33	1.1	0.96	0.52	0.29	1.42	1.66
Bhutan	 Beer	0.17	0.21	0.16	0.29	0.73	0.96	0.49	0.29	1.42	1.66
Bhutan	 Wine	0.02	0.06	0.02	0.02	0.01	0	0	0	0	0
Bhutan	 Spirits	0.03	0.02	0.02	0.02	0.36	0.34	0.03	0	0	0
Bhutan	 Other alcoholic beverages	0	0	0	0	0	0	0	0	0	0
Bolivia (Plurinational State of)	 All types	3.83	3.75	3.47	3.22	2.85	2.65	2.36	2.28	2.23	2.34
Bolivia (Plurinational State of)	 Beer	2.94	2.79	2.55	2.34	2.13	1.99	1.69	1.58	1.54	1.67
Bolivia (Plurinational State of)	 Wine	0.22	0.26	0.24	0.24	0.13	0.1	0.1	0.08	0.1	0.1
Bolivia (Plurinational State of)	 Spirits	0.65	0.69	0.67	0.62	0.58	0.56	0.57	0.61	0.58	0.56
Bolivia (Plurinational State of)	 Other alcoholic beverages	0.02	0.01	0.01	0.01	0.01	0	0	0	0	0
Bosnia and Herzegovina	 All types	4.71	5.09	5.11	4.78	4.53	4.22	4.12	3.89	3.95	3.69
Bosnia and Herzegovina	 Beer	3.5	3.8	3.77	3.57	3.34	3.03	2.87	2.65	2.61	2.57
Bosnia and Herzegovina	 Wine	0.49	0.54	0.58	0.45	0.41	0.4	0.41	0.38	0.49	0.27
Bosnia and Herzegovina	 Spirits	0.59	0.62	0.62	0.61	0.64	0.67	0.85	0.87	0.85	0.85
Bosnia and Herzegovina	 Other alcoholic beverages	0.13	0.14	0.13	0.14	0.13	0.12	0	0	0	0
Botswana	 All types	5.3	7.46	6.84	7.13	6.15	4.67	5.38	6.16	5.12	4.95
Botswana	 Beer	2.25	2.16	2.63	2.65	2.59	2.48	2.51	2.63	2.72	2.32
Botswana	 Wine	0.7	1.13	1.82	1.42	0.91	0.44	0.45	0.53	0.23	0.34
Botswana	 Spirits	0.66	2.06	0.49	1.07	1.01	0	0.81	1.21	0.36	0.53
Botswana	 Other alcoholic beverages	1.69	2.11	1.89	1.99	1.64	1.74	1.61	1.78	1.81	1.76
Brazil	 All types	7.21	7.09	7.08	7	6.85	6.77	6.88	7.07	7.22	7.35
Brazil	 Beer	4.08	3.78	3.68	3.51	3.32	3.19	3.15	3.29	3.32	3.31
Brazil	 Wine	0.39	0.37	0.38	0.41	0.46	0.4	0.4	0.42	0.42	0.44
